Show Title,Release Year,IMDb Rating,Show Link,Stream
Scream: The TV Series,2015,7.0,/in/tv-show/scream,
The King of TV,2022,7.4,/in/tv-show/the-king-of-tv,
Network,1976,8.1,/in/movie/network,"Amazon Prime Video, Amazon Video, Apple TV"
Daniel Sloss: Live Shows,2018,8.5,/in/tv-show/daniel-sloss-live-shows,Netflix
Loki,2021,8.2,/in/tv-show/loki,Hotstar
Catfish: The TV Show,2012,7.1,/in/tv-show/catfish-the-tv-show,
Alien TV,2020,6.4,/in/tv-show/alien-tv,Netflix
Edtv,1999,6.1,/in/movie/edtv,Amazon Video
Moeyo Ken TV,2005,6.3,/in/tv-show/moeyo-ken-tv,
Showrunners: The Art of Running a TV Show,2014,6.7,/in/movie/showrunners-the-art-of-running-a-tv-show,
Beyhadh,2016,7.2,/in/tv-show/beyhadh,Sony Liv
For Real: The Story of Reality TV,2021,6.6,/in/tv-show/for-real-the-story-of-reality-tv,
The TV Set,2007,6.5,/in/movie/the-tv-set,
Another Time,2018,4.6,/in/movie/another-time,Tubi TV
Die Discounter,2021,8.1,/in/tv-show/die-discounter,
Mahabharat,1988,8.9,/in/tv-show/mahabharat,Zee5
Arrival,2016,7.9,/in/movie/arrival,"Amazon Prime Video, Google Play Movies, Google Play Movies"
Knock at the Cabin,2023,6.1,/in/movie/knock-at-the-cabin,"Jio Cinema, Amazon Video, Apple TV"
Stay Tuned,1992,6.3,/in/movie/stay-tuned,
The Paper,2016,7.3,/in/tv-show/the-paper,
Churails,2020,8.2,/in/tv-show/churails,MX Player
Hypnotic,2023,5.5,/in/movie/hypnotic-2023,Amazon Prime Video
Paper Dolls,2023,6.7,/in/tv-show/paper-dolls,
I Don't Watch TV,2016,6.7,/in/tv-show/i-dont-watch-tv,
Chucky,2021,7.3,/in/tv-show/chucky,Jio Cinema
Capitaine Marleau,2015,6.8,/in/tv-show/capitaine-marleau,
Jesus Shows You the Way to the Highway,2019,5.7,/in/movie/jesus-shows-you-the-way-to-the-highway,"Tubi TV, Spamflix"
The Calculus Affair,1964,,/in/movie/the-calculus-affair,Amazon Prime Video
Wolf Creek,2016,7.1,/in/tv-show/wolf-creek,
Players,2022,7.4,/in/tv-show/players,Voot
Men in Black,1997,7.3,/in/movie/men-in-black,"Sony Liv, Amazon Video, Apple TV"
Echo,2024,6.1,/in/tv-show/echo,
The Birdcage,1996,7.2,/in/movie/the-birdcage,Amazon Video
Farm to TV,2021,,/in/movie/farm-to-tv,Tubi TV
Wacky TV Na Na Na,2018,6.6,/in/tv-show/wacky-tv-na-na-na,
Murphy Brown,1988,6.8,/in/tv-show/murphy-brown-1988,
From,2022,7.8,/in/tv-show/from,
Help,2021,7.6,/in/movie/help-2021,
Blue Murder,2003,7.3,/in/tv-show/blue-murder,
Nagin,1998,6.2,/in/tv-show/nagin,
I Married Joan,1952,7.7,/in/tv-show/i-married-joan,Classix
Kanchanamala Cable TV,2005,4.2,/in/movie/kanchanamala-cable-tv,Sun Nxt
Crown Lake,2019,6.0,/in/tv-show/crown-lake,Tubi TV
"The Gadget Show: Shop Smart, Save Money",2004,8.1,/in/tv-show/the-gadget-show,
Fortune Seller: A TV Scam,2022,6.7,/in/tv-show/fortune-seller-a-tv-scam,Netflix
"The Heartthrob: TV Changed, He Didn’t",2022,6.6,/in/tv-show/el-galan-la-tv-cambio-el-no,
The Gladiator,1986,5.3,/in/movie/the-gladiator,
Reacher,2022,8.1,/in/tv-show/jack-reacher,Amazon Prime Video
Hamish Macbeth,1995,7.8,/in/tv-show/hamish-macbeth,
TV in Black: The First Fifty Years,2004,,/in/movie/tv-in-black-the-first-fifty-years,Tubi TV
Casanova,2005,7.8,/in/tv-show/casanova,
Houdini,2014,7.3,/in/tv-show/houdini,Lionsgate Play
Disappeared,2010,5.4,/in/tv-show/disappeared,Discovery+
Days,2016,7.3,/in/tv-show/days,
Clone,2008,5.2,/in/tv-show/clone,
Darby and Joan,2022,7.8,/in/tv-show/darby-and-joan,
Avalon TV,2023,6.4,/in/tv-show/avalon-tv,WOW Presents Plus
Buddy Daddies,2023,7.9,/in/tv-show/buddy-daddies,Crunchyroll
Maz Jobrani: I'm Not a Terrorist But I've Played One on TV,2015,6.5,/in/movie/maz-jobrani-im-not-a-terrorist-but-ive-played-one-on-tv,
CrimeDoor TV,2022,,/in/tv-show/crimedoor-tv,Plex
Nam June Paik: Moon Is the Oldest TV,2023,6.8,/in/movie/nam-june-paik-moon-is-the-oldest-tv,
Injustice,2011,7.3,/in/tv-show/injustice,AMC+ Amazon Channel
The Netflix Afterparty: The Best Shows of The Worst Year,2020,,/in/movie/the-netflix-afterparty-the-best-shows-of-the-worst-year,Netflix
Quack Pack,1996,6.7,/in/tv-show/quack-pack,Hotstar
Miranda,2009,8.2,/in/tv-show/miranda,
The Life of David Gale,2003,7.5,/in/movie/the-life-of-david-gale,Amazon Video
Das Boot,1987,8.8,/in/tv-show/das-boot,
Vampire Princess Miyu,1997,7.0,/in/tv-show/vampire-princess-miyu-1997,
The Book Group,2002,7.6,/in/tv-show/the-book-group,
Moose TV,2007,6.8,/in/tv-show/moose-tv,Plex
A Beautiful Life,2023,6.4,/in/movie/a-beautiful-life-2023,Netflix
Brain Candy TV,2017,9.1,/in/tv-show/brain-candy-tv,Plex
Edward Scissorhands,1990,7.9,/in/movie/edward-scissorhands,"Amazon Video, Apple TV"
Better Off Zed,2018,4.5,/in/movie/better-off-zed,Tubi TV
We Have a Ghost,2022,6.1,/in/movie/we-have-a-ghost,Netflix
Rann,2010,6.9,/in/movie/rann,Amazon Prime Video
Touché Amoré - 10 Years / 1000 Shows - Live at the Regent Theater,2020,,/in/movie/touche-amore-10-years-1000-shows-live-at-the-regent-theater,
Kill Ugly TV,2007,,/in/movie/kill-ugly-tv,
Anatomy of a Fall,2023,7.8,/in/movie/anatomie-dune-chute,
Rocky,1976,8.1,/in/movie/rocky-1976,"Amazon Video, Apple TV"
Murphy Brown,2018,6.9,/in/tv-show/murphy-brown,
Ordinary Love,2019,6.6,/in/movie/ordinary-love,"Amazon Prime Video, Google Play Movies, Google Play Movies"
Death of Me,2020,4.4,/in/movie/death-of-me,"Amazon Prime Video, Google Play Movies, Google Play Movies"
Landscape with Invisible Hand,2023,6.0,/in/movie/landscape-with-invisible-hand,Amazon Prime Video
Peppermint,2018,6.5,/in/movie/peppermint,"Lionsgate Play, Google Play Movies, Apple TV"
Headhunters,2011,7.5,/in/movie/headhunters,
BULLBUSTER,2023,6.2,/in/tv-show/bullbuster,Crunchyroll
Saw X,2023,6.6,/in/movie/saw-x,"Lionsgate Play, Apple TV, Apple TV"
The Silence of the Lambs,1991,8.6,/in/movie/the-silence-of-the-lambs,
The Girl with the Dragon Tattoo,2011,7.8,/in/movie/the-girl-with-the-dragon-tattoo,"Amazon Video, Apple TV"
Vanishing on 7th Street,2010,4.9,/in/movie/vanishing-on-7th-street,
Everything Everywhere All at Once,2022,7.8,/in/movie/everything-everywhere-all-at-once,Sony Liv
May December,2023,6.9,/in/movie/may-december,
Caché,2005,,/in/movie/cache,
IO,2019,4.8,/in/movie/io,Netflix
Canterbury Tales,2003,7.3,/in/tv-show/canterbury-tales,
Espionage Tonight,2017,4.0,/in/movie/espionage-tonight,Filmzie
Room,2015,8.1,/in/movie/room,"Amazon Prime Video, Apple TV, Apple TV"
Big Hero 6 The Series,2017,7.2,/in/tv-show/big-hero-6-the-series,Hotstar
Black Jack,2004,,/in/tv-show/black-jack,
Hotel Mumbai,2019,7.6,/in/movie/hotel-mumbai,Zee5
Last Days,2005,5.7,/in/movie/last-days,Jio Cinema
Twister,1996,6.5,/in/movie/twister,"Jio Cinema, Amazon Video"
Maharshi,2019,7.2,/in/movie/maharshi,"Amazon Prime Video, Amazon Video"
WAGS Miami,2016,6.2,/in/tv-show/wags-miami,
Death Note,2015,7.0,/in/tv-show/death-note-2015,Netflix
Shaq,2022,7.7,/in/tv-show/shaq,
Fantastic Four,2005,5.7,/in/movie/fantastic-four-2005,"Hotstar, Apple TV, Google Play Movies"
Archie's TV Funnies,1971,7.7,/in/tv-show/archies-tv-funnies,
The Meddler,2016,6.3,/in/movie/the-meddler,"Amazon Video, Apple TV"
The Last Man on Earth,1964,6.7,/in/movie/the-last-man-on-earth,Tubi TV
Kate Bush Christmas Special,1979,8.1,/in/movie/kate-bush-christmas-tv-special,
Major 2nd,2018,7.6,/in/tv-show/major-2nd,
WandaVision,2021,7.9,/in/tv-show/wandavision,Hotstar
"Toys of Christmas Past: TV Ads From the 50's, 60's, 70's",2017,,/in/movie/toys-of-christmas-past-tv-ads-from-the-50s-60s-70s,Tubi TV
Hawkeye,2021,7.5,/in/tv-show/hawkeye-2021,Hotstar
BLACK AND WHITE TV,2019,,/in/movie/black-and-white-tv,
Kemurikusa,2019,6.7,/in/tv-show/kemurikusa,Amazon Prime Video
Little Manhattan,2005,7.4,/in/movie/little-manhattan,"Amazon Video, Google Play Movies"
Level,2021,3.1,/in/movie/level,Tubi TV
